dataset,build,leaf_id,leaf_n,leaf_depth,k,degenerate,eligible,trust_leaf,trust_root,cont_leaf,cont_root,delta_trust,delta_cont
Wine quality (Low),0,12,44,2,20,False,True,0.8089225589225588,0.7454545454545454,0.8365319865319866,0.7408249158249159,0.06346801346801345,0.09570707070707063
Wine quality (Low),0,13,69,2,20,False,True,0.8444569922830791,0.8365142104272539,0.8696969696969695,0.8702051571616789,0.007942781855825198,-0.0005081874647093754
Wine quality (Low),0,14,76,2,20,False,True,0.820242914979757,0.770401966454598,0.8444910352805091,0.8125072296124927,0.04984094852515897,0.031983805668016396
Wine quality (Low),1,0,43,3,20,False,True,0.7540465116279069,0.7294883720930232,0.7912558139534882,0.7412093023255814,0.024558139534883727,0.05004651162790685
Wine quality (Low),1,1,79,3,20,False,True,0.8257340467179956,0.8433250685110271,0.8537517943364219,0.8551611640349734,-0.017591021793031514,-0.0014093696985515436
Wine quality (Low),1,2,78,2,20,False,True,0.8622537112010797,0.8439811066126857,0.886828609986505,0.8885425101214574,0.01827260458839408,-0.0017139001349523175
Wine quality (Low),1,3,35,1,17,False,False,0.8276377217553689,0.8380952380952382,0.8224089635854342,0.842950513538749,-0.010457516339869355,-0.020541549953314697
Wine quality (Low),1,4,47,2,20,False,True,0.893359123146357,0.8830431979368148,0.9270148291424888,0.9245003223726628,0.010315925209542165,0.002514506769826008
Wine quality (Low),1,5,32,2,15,False,False,0.7819444444444443,0.7932870370370371,0.8208333333333333,0.8430555555555556,-0.011342592592592737,-0.022222222222222254
Wine quality (Low),1,6,68,2,20,False,True,0.8699411764705882,0.8438823529411765,0.9137058823529411,0.8899607843137256,0.02605882352941169,0.02374509803921554
Wine quality (Low),1,7,57,2,20,False,True,0.8393247269116187,0.7749751737835154,0.8641840450182059,0.8163853028798411,0.06434955312810331,0.04779874213836477
Wine quality (Low),1,8,37,2,18,False,False,0.7022285443338077,0.798640746009167,0.7547020704915441,0.7795163584637269,-0.09641220167535935,-0.02481428797218277
Wine quality (Low),1,9,37,3,18,False,False,0.8430535798956851,0.6899004267425319,0.8052789631737001,0.6642958748221907,0.15315315315315314,0.1409830883515094
Wine quality (Low),1,10,27,3,13,False,False,0.7570207570207571,0.7012617012617013,0.733007733007733,0.7199837199837199,0.05575905575905582,0.013024013024013126
Wine quality (Low),1,11,39,3,19,False,False,0.758029689608637,0.7141700404858299,0.7390013495276654,0.7561403508771931,0.043859649122807154,-0.017139001349527727
Wine quality (Low),1,12,46,3,20,False,True,0.746704067321178,0.6578541374474053,0.7657784011220198,0.6635343618513323,0.08884992987377272,0.10224403927068748
Wine quality (Low),1,13,33,2,16,False,False,0.7615864527629234,0.8190730837789661,0.8299910873440286,0.8527183600713013,-0.05748663101604279,-0.022727272727272707
Wine quality (Low),1,14,42,2,20,False,True,0.793167701863354,0.8011387163561077,0.8416149068322982,0.8110766045548653,-0.007971014492753725,0.030538302277432927
Wine quality (Low),1,15,38,2,18,False,False,0.8689780005569482,0.8712057922584239,0.8809523809523809,0.8939014202172099,-0.00222779170147569,-0.012949039264828932
Wine quality (Low),2,0,71,2,20,False,True,0.8693270735524258,0.8812206572769954,0.8896191966614502,0.8952182229177537,-0.011893583724569612,-0.005599026256303485
Wine quality (Low),2,1,37,3,18,False,False,0.7597597597597597,0.6333175280543702,0.7780938833570412,0.6584479216058164,0.12644223170538949,0.11964596175122477
Wine quality (Low),2,2,74,3,20,False,True,0.8581702392047219,0.8373718546132339,0.858170239204722,0.8406337371854613,0.020798384591487973,0.017536502019260714
Wine quality (Low),2,3,45,3,20,False,True,0.8476628352490423,0.806206896551724,0.8814559386973181,0.8334865900383144,0.04145593869731834,0.04796934865900371
Wine quality (Low),2,4,48,3,20,False,True,0.8458928571428572,0.8086904761904762,0.868095238095238,0.8345238095238096,0.03720238095238104,0.033571428571428474
Wine quality (Low),2,5,33,3,16,False,False,0.8021390374331552,0.8540552584670231,0.8471479500891267,0.8411319073083778,-0.05191622103386795,0.006016042780748854
Wine quality (Low),2,6,33,3,16,False,False,0.7807486631016043,0.8110516934046346,0.823752228163993,0.8502673796791443,-0.030303030303030276,-0.02651515151515138
Wine quality (Low),2,7,48,3,20,False,True,0.8117857142857142,0.8235714285714285,0.8545238095238096,0.85,-0.011785714285714288,0.0045238095238095966
Wine quality (Low),2,8,63,3,20,False,True,0.8571916971916971,0.8345787545787544,0.8687667887667888,0.8645665445665446,0.022612942612942666,0.00420024420024423
