dataset,build,node_id,depth,is_leaf,n_points,k,trustworthiness,continuity,mrre_false,mrre_missing,stress,cadi
Breast cancer (Low),3,10,1,True,57,20,0.7757696127110227,0.8004634227077126,0.8104452004714028,0.82682178843317,0.6649190532234364,
Breast cancer (Low),4,0,0,False,569,20,0.911947853586657,0.9331770050570075,0.9236227511245223,0.9480937975278253,0.5443462507471094,0.014362973455139923
Breast cancer (Low),4,1,1,False,378,20,0.8796703589509345,0.8920977503711317,0.9016184728661812,0.9181848859618102,0.5599633487256018,0.025529169181727485
Breast cancer (Low),4,2,2,False,307,20,0.8822985079901752,0.9007174370181008,0.8997338888637775,0.9226557381761232,0.5477761382833763,0.02897445452697268
Breast cancer (Low),4,3,3,True,95,20,0.8597144022847817,0.8762790697674421,0.8665268091472177,0.8862399190643822,0.41729844215420053,
Breast cancer (Low),4,4,3,True,29,14,0.748768472906404,0.7737274220032841,0.7864080191812995,0.8048432379297288,0.5828223753432863,
Breast cancer (Low),4,5,2,True,51,20,0.8121951219512197,0.8534194165471067,0.8343508141389332,0.8691717457091857,0.4711005529539518,
Breast cancer (Low),4,6,1,False,118,20,0.8316707021791768,0.8553704600484263,0.8461178766136698,0.8860295127036694,0.672421547985805,0.029363771865164097
Breast cancer (Low),4,7,2,True,43,20,0.6735813953488372,0.7015813953488372,0.7708098204010022,0.8152511946503549,0.7711019463984606,
Breast cancer (Low),4,8,2,True,65,20,0.8127536231884058,0.8414492753623187,0.8113489088324979,0.8545402677382327,0.5686422431635269,
Breast cancer (Low),4,9,1,True,58,20,0.8009404388714734,0.8114733542319749,0.8267124548403415,0.8263062079106146,0.6619179424899062,
Digits (Low),0,0,0,False,1000,20,0.9615895822588963,0.9619258380608561,0.9658509188694461,0.9748028597098376,0.608296682828165,0.02820135403863079
Digits (Low),0,1,1,True,100,20,0.8440791366906475,0.8355323741007191,0.8667935144184054,0.8634181514645303,0.6082797484290311,
Digits (Low),0,2,1,False,102,20,0.8843137254901962,0.9090017825311943,0.8944586570042855,0.9124982036802655,0.7079289170961308,0.020637124480704587
Digits (Low),0,3,2,True,39,19,0.7493927125506074,0.7591093117408907,0.7986732374889404,0.8043344642276493,0.6026721190803176,
Digits (Low),0,4,2,True,60,20,0.8612994350282486,0.8809039548022599,0.8831720634323479,0.8953873412572879,0.7187407105248226,
Digits (Low),0,5,1,True,87,20,0.9121961143322146,0.9166208930932763,0.9166464617022958,0.9265787937459862,0.7055857431285228,
Digits (Low),0,6,1,True,106,20,0.8689616393852305,0.9166250156191429,0.8688319852408459,0.9241043185814103,0.8066263359988242,
Digits (Low),0,7,1,False,92,20,0.8957758925415342,0.9164369034994698,0.9025949199924131,0.9147145446021763,0.662322164795227,0.026498807383067154
