arm,method,split,delta,metric,t,n_pairs,median_delta,win_rate,wilcoxon_p,rank_biserial,median_value,median_strict,median_f1,f1_ratio,median_coverage,primary,p_holm
synth-skew-tight,db,symmetric,0.1,jaccard_admitted,0.95,80,-0.11803772411151386,0.0625,2.913292114694836e-14,-0.875,0.5592757156829593,0.6892367836597825,0.858323494687131,0.9370031483667847,0.23125,False,8.739876344084509e-14
synth-skew-tight,db,symmetric,0.1,jaccard_admitted,0.9,80,-0.06200297674884192,0.1875,7.707668015609942e-09,-0.625,0.6183052314473431,0.6892367836597825,0.855921855921856,0.9343813593813595,0.22083333333333333,False,1.5415336031219885e-08
synth-skew-tight,db,symmetric,0.1,jaccard_admitted,0.8,80,0.038251105676741504,0.6625,0.0003398963333307917,0.325,0.7294480403107286,0.6892367836597825,0.78,0.8515,0.18541666666666667,False,0.0003398963333307917
synth-skew-tight,db,symmetric,0.1,f1_sd,0.95,80,1.2847096037330724e-05,0.4875,0.8141947062629618,-0.025,0.04594134593072917,0.04602607822937951,0.858323494687131,0.9370031483667847,0.23125,False,0.8141947062629618
synth-skew-tight,db,symmetric,0.1,f1_sd,0.9,80,-0.007962490800874158,0.75,3.6022106659997184e-07,0.5,0.03780943915936167,0.04602607822937951,0.855921855921856,0.9343813593813595,0.22083333333333333,False,7.204421331999437e-07
synth-skew-tight,db,symmetric,0.1,f1_sd,0.8,80,-0.02214013736146799,0.95,3.3783700970786453e-14,0.9,0.023486478816540535,0.04602607822937951,0.78,0.8515,0.18541666666666667,False,1.0135110291235936e-13
synth-skew-tight,db,symmetric,0.2,jaccard_admitted,0.95,80,-0.16839766030611647,0.0,7.849526548031477e-15,-1.0,0.4498689019081099,0.6210834580270471,0.858323494687131,0.9370031483667847,0.23125,False,2.3548579644094432e-14
synth-skew-tight,db,symmetric,0.2,jaccard_admitted,0.9,80,-0.1842810888041556,0.0,7.849526548031477e-15,-1.0,0.4304194179214772,0.6210834580270471,0.855921855921856,0.9343813593813595,0.22083333333333333,False,2.3548579644094432e-14
synth-skew-tight,db,symmetric,0.2,jaccard_admitted,0.8,80,-0.14433187651543264,0.0125,8.792926151362765e-15,-0.975,0.4724076872035422,0.6210834580270471,0.78,0.8515,0.18541666666666667,False,2.3548579644094432e-14
synth-skew-tight,db,symmetric,0.2,f1_sd,0.95,80,0.013252059950445965,0.0375,5.6571739758974697e-14,-0.925,0.048392512403562626,0.03598240898447698,0.858323494687131,0.9370031483667847,0.23125,False,1.697152192769241e-13
synth-skew-tight,db,symmetric,0.2,f1_sd,0.9,80,0.013490533460427265,0.1125,2.086779959598714e-13,-0.775,0.04937457579897515,0.03598240898447698,0.855921855921856,0.9343813593813595,0.22083333333333333,False,4.173559919197428e-13
synth-skew-tight,db,symmetric,0.2,f1_sd,0.8,80,0.014522063964175082,0.125,2.512925609401211e-12,-0.75,0.050998526620805756,0.03598240898447698,0.78,0.8515,0.18541666666666667,False,2.512925609401211e-12
synth-skew-tight,threshold,severity,0.05,jaccard_admitted,0.95,80,-0.039084142084516715,0.25,5.808420009372039e-08,-0.5,0.7080643627528302,0.7444189052902147,0.2857142857142857,0.3119047619047619,0.041666666666666664,False,5.808420009372039e-08
