track,dataset,dr_method,cluster_method,objective,sampler,trial,value,best_so_far
A,Wine quality (Low),PCA,DBSCAN,dbcv,TPE,3,-1.0,-1.0
A,Wine quality (Low),PCA,DBSCAN,dbcv,TPE,4,-1.0,-1.0
A,Wine quality (Low),PCA,DBSCAN,dbcv,TPE,5,-1.0,-1.0
A,Wine quality (Low),PCA,DBSCAN,dbcv,TPE,6,0.09475771808316083,0.09475771808316083
A,Wine quality (Low),PCA,DBSCAN,dbcv,TPE,7,-1.0,0.09475771808316083
A,Wine quality (Low),PCA,DBSCAN,dbcv,TPE,8,-1.0,0.09475771808316083
A,Wine quality (Low),PCA,DBSCAN,dbcv,TPE,9,0.0943040001271839,0.09475771808316083
A,Wine quality (Low),PCA,DBSCAN,dbcv,Random,0,-1.0,-1.0
A,Wine quality (Low),PCA,DBSCAN,dbcv,Random,1,-1.0,-1.0
A,Wine quality (Low),PCA,DBSCAN,dbcv,Random,2,-1.0,-1.0
A,Wine quality (Low),PCA,DBSCAN,dbcv,Random,3,-1.0,-1.0
A,Wine quality (Low),PCA,DBSCAN,dbcv,Random,4,-1.0,-1.0
A,Wine quality (Low),PCA,DBSCAN,dbcv,Random,5,-1.0,-1.0
A,Wine quality (Low),PCA,DBSCAN,dbcv,Random,6,0.09475771808316083,0.09475771808316083
A,Wine quality (Low),PCA,DBSCAN,dbcv,Random,7,-1.0,0.09475771808316083
A,Wine quality (Low),PCA,DBSCAN,dbcv,Random,8,-1.0,0.09475771808316083
A,Wine quality (Low),PCA,DBSCAN,dbcv,Random,9,0.0943040001271839,0.09475771808316083
A,Wine quality (Low),PCA,KMeans,dbcv,TPE,0,-0.35288681228269897,-0.35288681228269897
A,Wine quality (Low),PCA,KMeans,dbcv,TPE,1,-0.46199798340087883,-0.35288681228269897
A,Wine quality (Low),PCA,KMeans,dbcv,TPE,2,-0.4648471252254924,-0.35288681228269897
A,Wine quality (Low),PCA,KMeans,dbcv,TPE,3,-0.462378906469676,-0.35288681228269897
A,Wine quality (Low),PCA,KMeans,dbcv,TPE,4,-0.3637722454986901,-0.35288681228269897
A,Wine quality (Low),PCA,KMeans,dbcv,TPE,5,-0.43032042302755064,-0.35288681228269897
A,Wine quality (Low),PCA,KMeans,dbcv,TPE,6,-0.4456392719362555,-0.35288681228269897
A,Wine quality (Low),PCA,KMeans,dbcv,TPE,7,-0.4648471252254924,-0.35288681228269897
A,Wine quality (Low),PCA,KMeans,dbcv,TPE,8,-0.40882933545864614,-0.35288681228269897
A,Wine quality (Low),PCA,KMeans,dbcv,TPE,9,-0.502969784030639,-0.35288681228269897
A,Wine quality (Low),PCA,KMeans,dbcv,Random,0,-0.35288681228269897,-0.35288681228269897
A,Wine quality (Low),PCA,KMeans,dbcv,Random,1,-0.46199798340087883,-0.35288681228269897
A,Wine quality (Low),PCA,KMeans,dbcv,Random,2,-0.4648471252254924,-0.35288681228269897
A,Wine quality (Low),PCA,KMeans,dbcv,Random,3,-0.462378906469676,-0.35288681228269897
A,Wine quality (Low),PCA,KMeans,dbcv,Random,4,-0.3637722454986901,-0.35288681228269897
A,Wine quality (Low),PCA,KMeans,dbcv,Random,5,-0.43032042302755064,-0.35288681228269897
A,Wine quality (Low),PCA,KMeans,dbcv,Random,6,-0.4456392719362555,-0.35288681228269897
A,Wine quality (Low),PCA,KMeans,dbcv,Random,7,-0.4648471252254924,-0.35288681228269897
A,Wine quality (Low),PCA,KMeans,dbcv,Random,8,-0.40882933545864614,-0.35288681228269897
A,Wine quality (Low),PCA,KMeans,dbcv,Random,9,-0.502969784030639,-0.35288681228269897
A,Wine quality (Low),PCA,GMM,dbcv,TPE,0,-0.4235873998243644,-0.4235873998243644
A,Wine quality (Low),PCA,GMM,dbcv,TPE,1,-0.4171615137239745,-0.4171615137239745
A,Wine quality (Low),PCA,GMM,dbcv,TPE,2,-0.504700281581171,-0.4171615137239745
A,Wine quality (Low),PCA,GMM,dbcv,TPE,3,-0.4876278333882627,-0.4171615137239745
A,Wine quality (Low),PCA,GMM,dbcv,TPE,4,-0.4017151417165723,-0.4017151417165723
A,Wine quality (Low),PCA,GMM,dbcv,TPE,5,-0.4978197509787982,-0.4017151417165723
A,Wine quality (Low),PCA,GMM,dbcv,TPE,6,-0.504400693347327,-0.4017151417165723
A,Wine quality (Low),PCA,GMM,dbcv,TPE,7,-0.504700281581171,-0.4017151417165723
A,Wine quality (Low),PCA,GMM,dbcv,TPE,8,-0.41695725360041724,-0.4017151417165723
A,Wine quality (Low),PCA,GMM,dbcv,TPE,9,-0.4466865339631201,-0.4017151417165723
A,Wine quality (Low),PCA,GMM,dbcv,Random,0,-0.4235873998243644,-0.4235873998243644
A,Wine quality (Low),PCA,GMM,dbcv,Random,1,-0.4171615137239745,-0.4171615137239745
A,Wine quality (Low),PCA,GMM,dbcv,Random,2,-0.504700281581171,-0.4171615137239745
A,Wine quality (Low),PCA,GMM,dbcv,Random,3,-0.4876278333882627,-0.4171615137239745
A,Wine quality (Low),PCA,GMM,dbcv,Random,4,-0.4017151417165723,-0.4017151417165723
A,Wine quality (Low),PCA,GMM,dbcv,Random,5,-0.4978197509787982,-0.4017151417165723
A,Wine quality (Low),PCA,GMM,dbcv,Random,6,-0.504400693347327,-0.4017151417165723
A,Wine quality (Low),PCA,GMM,dbcv,Random,7,-0.504700281581171,-0.4017151417165723
A,Wine quality (Low),PCA,GMM,dbcv,Random,8,-0.41695725360041724,-0.4017151417165723
A,Wine quality (Low),PCA,GMM,dbcv,Random,9,-0.4466865339631201,-0.4017151417165723
A,Wine quality (Low),MDS,HDBSCAN,dbcv,TPE,0,-1.0,-1.0
A,Wine quality (Low),MDS,HDBSCAN,dbcv,TPE,1,0.0018537676935618088,0.0018537676935618088
A,Wine quality (Low),MDS,HDBSCAN,dbcv,TPE,2,-1.0,0.0018537676935618088
A,Wine quality (Low),MDS,HDBSCAN,dbcv,TPE,3,0.17092986616139902,0.17092986616139902
A,Wine quality (Low),MDS,HDBSCAN,dbcv,TPE,4,-0.002936678312495577,0.17092986616139902
A,Wine quality (Low),MDS,HDBSCAN,dbcv,TPE,5,-1.0,0.17092986616139902
A,Wine quality (Low),MDS,HDBSCAN,dbcv,TPE,6,0.09059704616939997,0.17092986616139902
A,Wine quality (Low),MDS,HDBSCAN,dbcv,TPE,7,-1.0,0.17092986616139902
A,Wine quality (Low),MDS,HDBSCAN,dbcv,TPE,8,0.04025272332405704,0.17092986616139902
A,Wine quality (Low),MDS,HDBSCAN,dbcv,TPE,9,0.013876727987000265,0.17092986616139902
A,Wine quality (Low),MDS,HDBSCAN,dbcv,Random,0,-1.0,-1.0
A,Wine quality (Low),MDS,HDBSCAN,dbcv,Random,1,0.02761575350770784,0.02761575350770784
